threshold,EQD_c0,EQD_c1,EQD_c2,deferral_rate
0.0,0.04065883061840182,0.03999597068833653,0.016563576736269625,0.7776095295780335
0.09,0.04065883061840182,0.03999597068833653,0.016563576736269625,0.7776095295780335
0.18,0.11370209173903545,0.12150924986169853,0.03570094233882681,0.5230163537250151
0.27,0.17391575773121024,0.16490061898062036,0.016905681058810518,0.33807793256612156
0.36,0.20742592464419535,0.19369127633716798,0.023537714309435853,0.2066424389259035
0.44999999999999996,0.24572539088635287,0.21707837662422524,0.016781444349165377,0.11457702402584292
0.54,0.28292151330458937,0.2587312857460219,0.0223753580472415,0.054209569957601456
0.63,0.31582233043043983,0.27939504554146644,0.0667939723525261,0.02432868968302039
0.72,0.3370009676311765,0.2937217679933441,0.09606044252563412,0.008580658186957399
0.8099999999999999,0.34780505149616403,0.2995278149243589,0.1124579683673046,0.002826569755703614
0.8999999999999999,0.34780505149616403,0.2995278149243589,0.1124579683673046,0.002826569755703614
0.99,0.35541717389268657,0.3060874413580112,0.11386940097139775,0.0006056935190793458
